# NOAA-derived station slugs -- input for check_beach_coverage.py

New London                               | new-london-ct                                 | CT   | USA                  | 8461490 | noaa-auto
Washington                               | washington                                    | DC   | USA                  | 8594900 | noaa-auto
Washington                               | washington-dc                                 | DC   | USA                  | 8594900 | noaa-auto
Lewes                                    | lewes                                         | DE   | USA                  | 8557380 | noaa-auto
Lewes                                    | lewes-de                                      | DE   | USA                  | 8557380 | noaa-auto
Reedy Point                              | reedy                                         | DE   | USA                  | 8551910 | noaa-auto
Reedy Point                              | reedy-point                                   | DE   | USA                  | 8551910 | noaa-auto
Reedy Point                              | reedy-point-de                                | DE   | USA                  | 8551910 | noaa-auto
Apalachicola                             | apalachicola                                  | FL   | USA                  | 8728690 | noaa-auto
Apalachicola                             | apalachicola-fl                               | FL   | USA                  | 8728690 | noaa-auto
Cedar Key                                | cedar                                         | FL   | USA                  | 8727520 | noaa-auto
Cedar Key                                | cedar-key                                     | FL   | USA                  | 8727520 | noaa-auto
Cedar Key                                | cedar-key-fl                                  | FL   | USA                  | 8727520 | noaa-auto
Clearwater Beach                         | clearwater                                    | FL   | USA                  | 8726724 | noaa-auto
Clearwater Beach                         | clearwater-beach                              | FL   | USA                  | 8726724 | noaa-auto
Clearwater Beach                         | clearwater-beach-fl                           | FL   | USA                  | 8726724 | noaa-auto
Dames Point                              | dames                                         | FL   | USA                  | 8720219 | noaa-auto
Dames Point                              | dames-point                                   | FL   | USA                  | 8720219 | noaa-auto
Dames Point                              | dames-point-fl                                | FL   | USA                  | 8720219 | noaa-auto
East Bay                                 | east                                          | FL   | USA                  | 8726674 | noaa-auto
East Bay                                 | east-bay                                      | FL   | USA                  | 8726674 | noaa-auto
East Bay                                 | east-bay-fl                                   | FL   | USA                  | 8726674 | noaa-auto
Fort Myers                               | fort-myers                                    | FL   | USA                  | 8725520 | noaa-auto
Fort Myers                               | fort-myers-fl                                 | FL   | USA                  | 8725520 | noaa-auto
Jacksonville University                  | jacksonville-university                       | FL   | USA                  | 8720245 | noaa-auto
Jacksonville University                  | jacksonville-university-fl                    | FL   | USA                  | 8720245 | noaa-auto
Key West                                 | key-west                                      | FL   | USA                  | 8724580 | noaa-auto
Key West                                 | key-west-fl                                   | FL   | USA                  | 8724580 | noaa-auto
Lake Worth Pier, Atlantic Ocean          | lake-worth-pier-atlantic-ocean                | FL   | USA                  | 8722670 | noaa-auto
Lake Worth Pier, Atlantic Ocean          | lake-worth-pier-atlantic-ocean-fl             | FL   | USA                  | 8722670 | noaa-auto
Mayport (Bar Pilots Dock)                | mayport-bar-pilots-dock                       | FL   | USA                  | 8720218 | noaa-auto
Mayport (Bar Pilots Dock)                | mayport-bar-pilots-dock-fl                    | FL   | USA                  | 8720218 | noaa-auto
Old Port Tampa                           | old-port-tampa                                | FL   | USA                  | 8726607 | noaa-auto
Old Port Tampa                           | old-port-tampa-fl                             | FL   | USA                  | 8726607 | noaa-auto
Panama City                              | panama-city                                   | FL   | USA                  | 8729108 | noaa-auto
Panama City Beach                        | panama-city-beach                             | FL   | USA                  | 8729210 | noaa-auto
Panama City Beach                        | panama-city-beach-fl                          | FL   | USA                  | 8729210 | noaa-auto
Panama City                              | panama-city-fl                                | FL   | USA                  | 8729108 | noaa-auto
Pensacola                                | pensacola                                     | FL   | USA                  | 8729840 | noaa-auto
Pensacola                                | pensacola-fl                                  | FL   | USA                  | 8729840 | noaa-auto
Port Manatee                             | port-manatee                                  | FL   | USA                  | 8726384 | noaa-auto
Port Manatee                             | port-manatee-fl                               | FL   | USA                  | 8726384 | noaa-auto
